0.0,0.0,2,1,0,0
1.0,0.0,2,1,0,0
2.0,0.0,2,1,0,0
3.0,0.0,2,1,0,0
4.0,0.0,2,1,0,0
5.0,0.0,2,1,0,0
6.0,0.0,2,1,0.0536766023743,0.114919429194
7.0,0.0,2,1,0.151478712714,0.178298959923
8.0,0.0,2,1,0.236097577926,0.545586397891
9.0,0.0,2,1,0.462290553224,0.910875590777
10.0,268.208239017,2,1,0.708796327347,1.13114151444
11.0,534.893992284,2,1,5.49499734159,6.69207023324
12.0,802.05958004,2,1,5.63370727952,7.1440219347
13.0,802.05958004,2,1,5.79351207497,7.5118588043
14.0,802.05958004,2,1,5.84107409061,7.98706186195
15.0,802.05958004,2,1,5.93937655609,8.25578487307
16.0,802.05958004,2,1,6.09888508946,8.51289036608
17.0,802.05958004,2,1,6.31488560544,8.73053948818
18.0,802.05958004,2,1,6.51015489129,9.05883923125
19.0,802.05958004,2,1,6.53178232176,9.1821592877
20.0,1069.04877202,2,1,6.76807572753,9.66116271492
21.0,1337.40999392,3,1,5.29988759108,5.61662401363
22.0,1605.40130331,3,1,5.42307129761,5.70230476525
23.0,1605.40130331,3,1,5.56689685908,5.76437760845
24.0,1605.40130331,3,1,5.77523570259,5.84041809236
25.0,1605.40130331,3,1,6.01047311922,6.28434610796
26.0,1605.40130331,3,1,6.24290239149,6.510321515
27.0,1605.40130331,3,1,6.28848908491,6.8288122838
28.0,1605.40130331,3,1,6.53462237063,7.17246555371
29.0,1605.40130331,3,1,6.55237529809,7.3687582067
30.0,1873.91239754,3,1,6.79375806351,7.6001589039
31.0,2141.46650939,4,1,6.5597899596,7.2971404919
32.0,2408.18052122,4,1,6.60463763149,7.62838592544
33.0,2408.18052122,4,1,6.62711392862,7.998985304
34.0,2408.18052122,4,1,6.78160818244,8.01473434269
35.0,2408.18052122,4,1,6.89561520809,8.1794662128
36.0,2408.18052122,4,1,7.07124064024,8.28740333435
37.0,2408.18052122,4,1,7.1394054287,8.75612597987
38.0,2408.18052122,4,1,7.33161923117,9.1970285466
39.0,2408.18052122,4,1,7.55004310281,9.66259532345
40.0,2675.0010716,4,1,7.55852581297,9.89687005706
41.0,2942.79275247,4,1,7.63391326839,10.3641083396
42.0,3210.2909614,5,1,4.98172567003,12.4010597931
43.0,3210.2909614,5,1,5.07357651179,12.5270896117
44.0,3210.2909614,5,1,5.23912032622,12.9340635896
45.0,3210.2909614,5,1,5.32450943522,13.401917361
46.0,3210.2909614,5,1,5.47682370145,13.5184178107
47.0,3210.2909614,5,1,5.68651269607,13.9843167564
48.0,3210.2909614,5,1,5.78200335735,14.4291153004
49.0,3210.2909614,5,1,5.7965620654,14.7611673944
50.0,3478.67450138,5,1,5.9963284844,15.198717776
51.0,3746.54064186,5,1,6.16055633934,15.5702602011
52.0,4015.06919813,6,1,6.79258757002,9.73113393945
53.0,4015.06919813,6,1,6.86316628298,9.81609036665
54.0,4015.06919813,6,1,6.99524932272,10.2932261451
55.0,4015.06919813,6,1,6.99940395501,10.5900106086
56.0,4015.06919813,6,1,7.23897251381,10.9684303231
57.0,4015.06919813,6,1,7.48612488545,11.4093412848
58.0,4015.06919813,6,1,7.52101661849,11.7131733644
59.0,4015.06919813,6,1,7.73515058223,12.0365353101
60.0,4282.87849341,6,1,7.80042935864,12.4587439684
61.0,4549.81763566,6,1,7.92537372792,12.8565288544
62.0,4816.78466706,6,1,8.1173454262,13.2064192674
63.0,4816.78466706,7,1,7.59225650904,17.5562809086
64.0,4816.78466706,7,1,7.82134409223,17.8057499763
65.0,4816.78466706,7,1,7.82272460169,18.101496429
66.0,4816.78466706,7,1,7.82600349524,18.2442930247
67.0,4816.78466706,7,1,7.94306908665,18.2566129623
68.0,4816.78466706,7,1,7.96187994762,18.4338557286
69.0,4816.78466706,7,1,8.00443356871,18.6235813837
70.0,5084.3968419,7,1,8.17374851803,18.9943533806
71.0,5352.81878619,7,1,8.31726881909,19.3515301026
72.0,5620.80684219,7,1,8.46634507921,19.7093531608
73.0,5620.80684219,7,1,8.6883043615,19.9238302731
74.0,5620.80684219,7,1,8.83696354615,20.2846549448
75.0,5620.80684219,8,1,8.36012992585,8.33799914722
76.0,5620.80684219,8,1,8.45503762286,8.37250934846
77.0,5620.80684219,8,1,8.60162423611,8.57150922551
78.0,5620.80684219,8,1,8.73849881795,8.66059887989
79.0,5620.80684219,8,1,8.74128237362,8.67541705314
80.0,5889.27339443,8,1,8.92567875696,8.98374909496
81.0,6157.35817717,8,1,8.92964835984,9.35005787969
82.0,6425.14687981,8,1,9.12689876698,9.4899668122
83.0,6425.14687981,8,1,9.33829405694,9.73941187789
84.0,6425.14687981,8,1,9.34690991198,9.84726955649
85.0,6425.14687981,8,1,9.54549182066,10.0585458813
86.0,6425.14687981,8,1,9.72143606235,10.2624820798
87.0,6425.14687981,10,2,10.9508849951,127.695580886
88.0,6425.14687981,10,2,11.001492673,174.682275212
89.0,6425.14687981,10,2,11.1930315397,196.774887079
90.0,6692.33459615,10,2,11.2609433807,199.97234287
91.0,6960.3073234,10,2,11.4088191244,207.547778318
92.0,7227.58831175,10,2,11.5876740892,196.010643786
93.0,7227.58831175,10,2,11.7009499227,203.966493584
94.0,7227.58831175,10,2,11.8650042772,190.872536706
95.0,7227.58831175,10,2,12.0851783982,172.136953657
96.0,7227.58831175,10,2,12.1036028253,124.881955239
97.0,7227.58831175,10,2,12.1105215759,133.509131293
98.0,7227.58831175,10,2,12.171732029,133.58393934
99.0,7227.58831175,10,2,12.4071230609,133.600904273
